"","Ward","Constituency","Link"
"1","Adel and Wharfedale","Leeds North West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS169HG"
"2","Alwoodley","Leeds North East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS175HJ"
"3","Ardsley and Robin Hood","Morley and Outwood","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=WF33FT"
"4","Armley","Leeds West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS122AT"
"5","Beeston and Holbeck","Leeds Central","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS124DH"
"6","Bramley and Stanningley","Leeds West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS131AR"
"7","Burmantofts and Richmond Hill","Leeds Central","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS98TJ"
"8","Calverley and Farsley","Pudsey","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS285AH"
"9","Chapel Allerton","Leeds North East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS72QE"
"10","Cross Gates and Whinmoor","Leeds East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS145EA"
"11","Farnley and Wortley","Leeds West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS277GE"
"12","Garforth and Swillington","Elmet and Rothwell","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS251AF"
"13","Gipton and Harehills","Leeds East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS96QN"
"14","Guiseley and Rawdon","Pudsey","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS197BZ"
"15","Harewood","Elmet and Rothwell","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS143HR"
"16","Headingley and Hyde Park","Leeds North West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS62DE"
"17","Horsforth","Pudsey","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=BD100PJ"
"18","Hunslet and Riverside","Leeds Central","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS101NT"
"19","Killingbeck and Seacroft","Leeds East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS146FR"
"20","Kippax and Methley","Elmet and Rothwell","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=WF102BS"
"21","Kirkstall","Leeds West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS53NF"
"22","Little London and Woodhouse","Leeds Central","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS29JZ"
"23","Middleton Park","Leeds Central","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS104HX"
"24","Moortown","Leeds North East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS176RY"
"25","Morley North","Morley and Outwood","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS277JQ"
"26","Morley South","Morley and Outwood","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS278PJ"
"27","Otley and Yeadon","Leeds North West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS211FG"
"28","Pudsey","Pudsey","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS134DS"
"29","Rothwell","Elmet and Rothwell","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS268EY"
"30","Roundhay","Leeds North East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS81JY"
"31","Temple Newsam","Leeds East","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS159AH"
"32","Weetwood","Leeds North West","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS165QZ"
"33","Wetherby","Elmet and Rothwell","https://events.labour.org.uk/results?date=&keyword=&distance=5&postcode=LS226LY"
